iwwanu Iyu(V2)+iwwa_Iyu_PAST+anu_a_3SM   
IyuvavalYigosuga Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosuga_lYu_3SF
IyuvavalYigosugavA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugavA_lYu_INTR
IyuvavalYigosugavU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugavU_lYu_INCL
IyuvavalYigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_DUB
IyuvavalYigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_INDF
IyuvavalYigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugavo_lYu_PRES
IyuvavalYigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugave_lYu_IMPH
IyuvavalYigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugave_lYu_DECL
IyuvavalYigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_BEN+lYigosugave_lYu_RIS
IyuvavalYigosuga Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosuga_lYu_3SF
IyuvavalYigosugavA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugavA_lYu_INTR
IyuvavalYigosugavU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugavU_lYu_INCL
IyuvavalYigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_DUB
IyuvavalYigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_INDF
IyuvavalYigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugavo_lYu_PRES
IyuvavalYigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugave_lYu_IMPH
IyuvavalYigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugave_lYu_DECL
IyuvavalYigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_PUR+lYigosugave_lYu_RIS
IyuvavalYigiMwa Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwa_lYu_3SF
IyuvavalYigiMwalA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwalA_lYu_INTR
IyuvavalYigiMwalU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwalU_lYu_INCL
IyuvavalYigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_DUB
IyuvavalYigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_INDF
IyuvavalYigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwalo_lYu_PRES
IyuvavalYigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_IMPH
IyuvavalYigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_DECL
IyuvavalYigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_COMP+lYigiMwale_lYu_RIS
IyuvavalYaMweV Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweV_lYu_3SF
IyuvavalYaMweVyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVyA_lYu_INTR
IyuvavalYaMweVyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVyU_lYu_INCL
IyuvavalYaMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_DUB
IyuvavalYaMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_INDF
IyuvavalYaMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVyo_lYu_PRES
IyuvavalYaMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_IMPH
IyuvavalYaMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_DECL
IyuvavalYaMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SIM+lYaMweVye_lYu_RIS
IyuvavalYoVdaneV Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneV_lYu_3SF
IyuvavalYoVdaneVyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVyA_lYu_INTR
IyuvavalYoVdaneVyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVyU_lYu_INCL
IyuvavalYoVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_DUB
IyuvavalYoVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_INDF
IyuvavalYoVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVyo_lYu_PRES
IyuvavalYoVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_IMPH
IyuvavalYoVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_DECL
IyuvavalYoVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVdaneVye_lYu_RIS
IyuvavalYoVMxigeV  Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeV_lYu_3SF
IyuvavalYoVMxigeVyA Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVyA_lYu_INTR
IyuvavalYoVMxigeVyU Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVyU_lYu_INCL
IyuvavalYoVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_DUB
IyuvavalYoVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_INDF
IyuvavalYoVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVyo_lYu_PRES
IyuvavalYoVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_IMPH
IyuvavalYoVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_DECL
IyuvavalYoVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavalYu_va_SOC+lYoVMxigeVye_lYu_RIS
Iyuvavarannu Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+rannu_ru_3P
IyuvavarannA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+rannA_ru_INTR
IyuvavarannU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+rannU_ru_INCL
Iyuvavaranno Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+ranno_ru_DUB
Iyuvavaranno Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+ranno_ru_INDF
Iyuvavaranno Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+ranno_ru_PRES
Iyuvavaranne Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+ranne_ru_IMPH
Iyuvavaranne Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+ranne_ru_DECL
Iyuvavaranne Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ACC+ranne_ru_RIS
IyuvavariMxa Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxa_ru_3P
IyuvavariMxalA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxalA_ru_INTR
IyuvavariMxalU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxalU_ru_INCL
IyuvavariMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxalo_ru_DUB
IyuvavariMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxalo_ru_INDF
IyuvavariMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxalo_ru_PRES
IyuvavariMxale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxale_ru_IMPH
IyuvavariMxale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxale_ru_DECL
IyuvavariMxale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_INS+riMxale_ru_RIS
IyuvavarigeV Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeV_ru_3P
IyuvavarigeVyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVyA_ru_INTR
IyuvavarigeVyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVyU_ru_INCL
IyuvavarigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVyo_ru_DUB
IyuvavarigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVyo_ru_INDF
IyuvavarigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVyo_ru_PRES
IyuvavarigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVye_ru_IMPH
IyuvavarigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVye_ru_DECL
IyuvavarigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_DAT+rigeVye_ru_RIS
IyuvavariMxa  Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxa_ru_3P
IyuvavariMxalA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxalA_ru_INTR
IyuvavariMxalU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxalU_ru_INCL
IyuvavariMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxalo_ru_DUB
IyuvavariMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxalo_ru_INDF
IyuvavariMxalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxalo_ru_PRES
IyuvavariMxale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxale_ru_IMPH
IyuvavariMxale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxale_ru_DECL
IyuvavariMxale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_ABL+riMxale_ru_RIS
Iyuvavara Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_GEN+ra_ru_3P
Iyuvavaralli Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralli_ru_3P
IyuvavaralliyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliyA_ru_INTR
IyuvavaralliyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliyU_ru_INCL
Iyuvavaralliyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliyo_ru_DUB
Iyuvavaralliyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliyo_ru_INDF
Iyuvavaralliyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliyo_ru_PRES
Iyuvavaralliye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliye_ru_IMPH
Iyuvavaralliye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliye_ru_DECL
Iyuvavaralliye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_LOC+ralliye_ru_RIS
Iyuvavarigoskara Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskara_ru_3P
IyuvavarigoskaravA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskaravA_ru_INTR
IyuvavarigoskaravU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskaravU_ru_INCL
Iyuvavarigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskaravo_ru_DUB
Iyuvavarigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskaravo_ru_INDF
Iyuvavarigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskaravo_ru_PRES
Iyuvavarigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskarave_ru_IMPH
Iyuvavarigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskarave_ru_DECL
Iyuvavarigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigoskarave_ru_RIS
Iyuvavarigoskara Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskara_ru_3P
IyuvavarigoskaravA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskaravA_ru_INTR
IyuvavarigoskaravU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskaravU_ru_INCL
Iyuvavarigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskaravo_ru_DUB
Iyuvavarigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskaravo_ru_INDF
Iyuvavarigoskaravo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskaravo_ru_PRES
Iyuvavarigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskarave_ru_IMPH
Iyuvavarigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskarave_ru_DECL
Iyuvavarigoskarave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigoskarave_ru_RIS
IyuvavarigAgi Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgi_ru_3P
IyuvavarigAgiyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
IyuvavarigAgiyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
IyuvavarigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
IyuvavarigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
IyuvavarigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
IyuvavarigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
IyuvavarigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
IyuvavarigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
IyuvavarigAgi Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigAgi_ru_3P
IyuvavarigAgiyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyA_ru_INTR
IyuvavarigAgiyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyU_ru_INCL
IyuvavarigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyo_ru_DUB
IyuvavarigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyo_ru_INDF
IyuvavarigAgiyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiyo_ru_PRES
IyuvavarigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiye_ru_IMPH
IyuvavarigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiye_ru_DECL
IyuvavarigAgiye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigAgiye_ru_RIS
Iyuvavarigosuga Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosuga_ru_3P
IyuvavarigosugavA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugavA_ru_INTR
IyuvavarigosugavU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugavU_ru_INCL
Iyuvavarigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugavo_ru_DUB
Iyuvavarigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugavo_ru_INDF
Iyuvavarigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugavo_ru_PRES
Iyuvavarigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugave_ru_IMPH
Iyuvavarigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugave_ru_DECL
Iyuvavarigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_BEN+rigosugave_ru_RIS
Iyuvavarigosuga Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosuga_ru_3P
IyuvavarigosugavA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugavA_ru_INTR
IyuvavarigosugavU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugavU_ru_INCL
Iyuvavarigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugavo_ru_DUB
Iyuvavarigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugavo_ru_INDF
Iyuvavarigosugavo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugavo_ru_PRES
Iyuvavarigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugave_ru_IMPH
Iyuvavarigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugave_ru_DECL
Iyuvavarigosugave Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_PUR+rigosugave_ru_RIS
IyuvavarigiMwa Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwa_ru_3P
IyuvavarigiMwalA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwalA_ru_INTR
IyuvavarigiMwalU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwalU_ru_INCL
IyuvavarigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwalo_ru_DUB
IyuvavarigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwalo_ru_INDF
IyuvavarigiMwalo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwalo_ru_PRES
IyuvavarigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwale_ru_IMPH
IyuvavarigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwale_ru_DECL
IyuvavarigiMwale Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_COMP+rigiMwale_ru_RIS
IyuvavaraMweV Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweV_ru_3P
IyuvavaraMweVyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVyA_ru_INTR
IyuvavaraMweVyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVyU_ru_INCL
IyuvavaraMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVyo_ru_DUB
IyuvavaraMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVyo_ru_INDF
IyuvavaraMweVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVyo_ru_PRES
IyuvavaraMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVye_ru_IMPH
IyuvavaraMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVye_ru_DECL
IyuvavaraMweVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SIM+raMweVye_ru_RIS
IyuvavaroVdaneV Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneV_ru_3P
IyuvavaroVdaneVyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVyA_ru_INTR
IyuvavaroVdaneVyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVyU_ru_INCL
IyuvavaroVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVyo_ru_DUB
IyuvavaroVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVyo_ru_INDF
IyuvavaroVdaneVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVyo_ru_PRES
IyuvavaroVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVye_ru_IMPH
IyuvavaroVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVye_ru_DECL
IyuvavaroVdaneVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVdaneVye_ru_RIS
IyuvavaroVMxigeV  Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeV_ru_3P
IyuvavaroVMxigeVyA Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVyA_ru_INTR
IyuvavaroVMxigeVyU Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVyU_ru_INCL
IyuvavaroVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_DUB
IyuvavaroVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_INDF
IyuvavaroVMxigeVyo Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVyo_ru_PRES
IyuvavaroVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVye_ru_IMPH
IyuvavaroVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVye_ru_DECL
IyuvavaroVMxigeVye Iyu(V2)+Iyuva_Iyu_PRP+vavaru_va_SOC+roVMxigeVye_ru_RIS
IyuvuxannA Iyu(V2)+Iyuvuxu_Iyu_ACC+xannA_xu_INTR
IyuvuxannU Iyu(V2)+Iyuvuxu_Iyu_ACC+xannU_xu_INCL
Iyuvuxanno Iyu(V2)+Iyuvuxu_Iyu_ACC+xanno_xu_DUB
Iyuvuxanno Iyu(V2)+Iyuvuxu_Iyu_ACC+xanno_xu_INDF
Iyuvuxanno Iyu(V2)+Iyuvuxu_Iyu_ACC+xanno_xu_PRES
Iyuvuxanne Iyu(V2)+Iyuvuxu_Iyu_ACC+xanne_xu_IMPH
Iyuvuxanne Iyu(V2)+Iyuvuxu_Iyu_ACC+xanne_xu_DECL
Iyuvuxanne Iyu(V2)+Iyuvuxu_Iyu_ACC+xanne_xu_RIS
IyuvuxariMxalA Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxalA_xu_INTR
IyuvuxariMxalU Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxalU_xu_INCL
IyuvuxariMxalo Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxalo_xu_DUB
IyuvuxariMxalo Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxalo_xu_INDF
IyuvuxariMxalo Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxalo_xu_PRES
IyuvuxariMxale Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxale_xu_IMPH
IyuvuxariMxale Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxale_xu_DECL
IyuvuxariMxale Iyu(V2)+Iyuvuxu_Iyu_INS+xariMxale_xu_RIS
IyuvuxakkeVyA Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVyA_xu_INTR
IyuvuxakkeVyU Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVyU_xu_INCL
IyuvuxakkeVyo Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVyo_xu_DUB
IyuvuxakkeVyo Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVyo_xu_INDF
IyuvuxakkeVyo Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVyo_xu_PRES
IyuvuxakkeVye Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVye_xu_IMPH
IyuvuxakkeVye Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVye_xu_DECL
IyuvuxakkeVye Iyu(V2)+Iyuvuxu_Iyu_DAT+xakkeVye_xu_RIS
IyuvuxariMxalA Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxalA_xu_INTR
IyuvuxariMxalU Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxalU_xu_INCL
IyuvuxariMxalo Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxalo_xu_DUB
IyuvuxariMxalo Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxalo_xu_INDF
IyuvuxariMxalo Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxalo_xu_PRES
IyuvuxariMxale Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxale_xu_IMPH
IyuvuxariMxale Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxale_xu_DECL
IyuvuxariMxale Iyu(V2)+Iyuvuxu_Iyu_ABL+xariMxale_xu_RIS
IyuvuxaralliyA Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliyA_xu_INTR
IyuvuxaralliyU Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliyU_xu_INCL
Iyuvuxaralliyo Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliyo_xu_DUB
Iyuvuxaralliyo Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliyo_xu_INDF
Iyuvuxaralliyo Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliyo_xu_PRES
Iyuvuxaralliye Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliye_xu_IMPH
Iyuvuxaralliye Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliye_xu_DECL
Iyuvuxaralliye Iyu(V2)+Iyuvuxu_Iyu_LOC+xaralliye_xu_RIS
IyuvuxakkoskaravA Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskaravA_xu_INTR
IyuvuxakkoskaravU Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskaravU_xu_INCL
Iyuvuxakkoskaravo Iyu(V2)+Iyuvuxu_Iyu_BEN+xakkoskaravo_xu_DUB
